timestamp,R_angle(θ),R_Torque Cmd,R_Torque Est,L_angle(θ),L_Torque Cmd,L_Torque Est,Lθ Display,Rθ Display,Lτ Display,Rτ Display
0.5025,87.84,0.0,0.0,91.16,0.0,0.0,91.2,87.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.503,88.18,0.0,0.0,91.23,0.0,0.0,91.2,88.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5035,87.31,0.0,0.0,90.69,0.0,0.0,90.7,87.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.504,86.78,0.0,0.0,89.47,0.0,0.0,89.5,86.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5045,83.12,0.0,0.0,87.75,0.0,0.0,87.8,83.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.505,82.17,0.0,0.0,87.31,0.0,0.0,87.3,82.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5055,82.19,0.0,0.0,87.65,0.0,0.0,87.7,82.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.506,83.09,0.0,0.0,88.22,0.0,0.0,88.2,83.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5065,85.27,0.0,0.0,89.01,0.0,0.0,89.0,85.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.507,86.9,0.0,0.0,89.5,0.0,0.0,89.5,86.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5075,86.9,0.0,0.0,89.52,0.0,0.0,89.5,86.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.508,87.02,0.0,0.0,89.21,0.0,0.0,89.2,87.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5085,85.29,0.0,0.0,88.74,0.0,0.0,88.7,85.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.509,83.64,0.0,0.0,87.32,0.0,0.0,87.3,83.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5095,82.41,0.0,0.0,87.16,0.0,0.0,87.2,82.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.51,82.16,0.0,0.0,87.47,0.0,0.0,87.5,82.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5105,81.95,0.0,0.0,87.73,0.0,0.0,87.7,82.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.511,81.71,0.0,0.0,88.2,0.0,0.0,88.2,81.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5115,81.13,0.0,0.0,88.35,0.0,0.0,88.3,81.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.512,76.16,0.0,0.0,88.01,0.0,0.0,88.0,76.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5125,75.12,0.0,0.0,86.64,0.0,0.0,86.6,75.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.513,73.37,0.0,0.0,85.89,0.0,0.0,85.9,73.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5135,77.67,0.0,0.0,85.22,0.0,0.0,85.2,77.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.514,80.68,0.0,0.0,84.68,0.0,0.0,84.7,80.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5145,81.87,0.0,0.0,83.29,0.0,0.0,83.3,81.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.515,82.77,0.0,0.0,80.7,0.0,0.0,80.7,82.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5155,83.52,0.0,0.0,75.82,0.0,0.0,75.8,83.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.516,83.91,0.0,0.0,71.02,0.0,0.0,71.0,83.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5165,84.82,0.0,0.0,65.89,0.0,0.0,65.9,84.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.517,85.83,0.0,0.0,61.96,0.0,0.0,62.0,85.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5175,86.21,0.0,0.0,58.06,0.0,0.0,58.1,86.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.518,86.88,0.0,0.0,54.97,0.0,0.0,55.0,86.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5185,87.62,0.0,0.0,54.45,0.0,0.0,54.5,87.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.519,89.43,0.0,0.0,55.15,0.0,0.0,55.1,89.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5195,90.36,0.0,0.0,57.21,0.0,0.0,57.2,90.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.52,91.92,0.0,0.0,60.1,0.0,0.0,60.1,91.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5205,93.84,0.0,0.0,66.57,0.0,0.0,66.6,93.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.521,95.03,0.0,0.0,71.9,0.0,0.0,71.9,95.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5215,96.03,0.0,0.0,79.92,0.0,0.0,79.9,96.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.522,96.55,0.0,0.0,82.15,0.0,0.0,82.2,96.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5225,96.01,0.0,0.0,82.27,0.0,0.0,82.3,96.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.523,93.09,0.0,0.0,82.6,0.0,0.0,82.6,93.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5235,88.48,0.0,0.0,85.18,0.0,0.0,85.2,88.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.524,80.29,0.0,0.0,86.81,0.0,0.0,86.8,80.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5245,74.67,0.0,0.0,88.86,0.0,0.0,88.9,74.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.525,72.69,0.0,0.0,89.68,0.0,0.0,89.7,72.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5255,71.71,0.0,0.0,90.09,0.0,0.0,90.1,71.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.526,67.14,0.0,0.0,90.99,0.0,0.0,91.0,67.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5265,64.11,0.0,0.0,92.52,0.0,0.0,92.5,64.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.527,61.41,0.0,0.0,94.89,0.0,0.0,94.9,61.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5275,64.95,0.0,0.0,95.86,0.0,0.0,95.9,65.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.528,70.65,0.0,0.0,96.99,0.0,0.0,97.0,70.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5285,73.95,0.0,0.0,97.94,0.0,0.0,97.9,74.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.529,74.94,0.0,0.0,98.89,0.0,0.0,98.9,74.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5295,75.41,0.0,0.0,96.6,0.0,0.0,96.6,75.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.53,75.41,0.0,0.0,89.77,0.0,0.0,89.8,75.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5305,81.76,0.0,0.0,79.49,0.0,0.0,79.5,81.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.531,84.48,0.0,0.0,73.25,0.0,0.0,73.2,84.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5315,87.29,0.0,0.0,65.61,0.0,0.0,65.6,87.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.532,87.79,0.0,0.0,60.91,0.0,0.0,60.9,87.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5325,88.81,0.0,0.0,58.89,0.0,0.0,58.9,88.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.533,90.48,0.0,0.0,57.0,0.0,0.0,57.0,90.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5335,90.48,0.0,0.0,58.59,0.0,0.0,58.6,90.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.534,93.22,0.0,0.0,64.24,0.0,0.0,64.2,93.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5345,94.38,0.0,0.0,68.33,0.0,0.0,68.3,94.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.535,94.74,0.0,0.0,73.42,0.0,0.0,73.4,94.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.5355,92.87,0.0,0.0,75.27,0.0,0.0,75.3,92.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
