timestamp,R_angle(θ),R_Torque Cmd,R_Torque Est,L_angle(θ),L_Torque Cmd,L_Torque Est,Lθ Display,Rθ Display,Lτ Display,Rτ Display
1.57,1.45,0.08,0.0,-1.06,1.21,0.0,-1.1,1.4,0.0 (cmd 0.1),0.0 (cmd 1.2)
1.5705,4.3,0.52,0.0,0.17,1.1,0.0,0.2,4.3,0.0 (cmd 0.5),0.0 (cmd 1.1)
1.571,10.46,2.94,0.0,1.76,1.48,0.0,1.8,10.5,0.0 (cmd 2.9),0.0 (cmd 1.5)
1.5715,12.45,3.05,0.0,3.33,1.73,0.0,3.3,12.4,0.0 (cmd 3.0),0.0 (cmd 1.7)
1.572,-16.9,2.39,0.0,4.67,1.58,0.0,4.7,-16.9,0.0 (cmd 2.4),0.0 (cmd 1.6)
1.5725,-9.26,-6.69,0.0,7.15,1.05,0.0,7.2,-9.3,0.0 (cmd -6.7),0.0 (cmd 1.1)
1.573,-6.34,-2.43,0.0,9.1,1.72,0.0,9.1,-6.3,0.0 (cmd -2.4),0.0 (cmd 1.7)
1.5735,-6.34,-2.01,0.0,10.95,1.74,0.0,10.9,-6.3,0.0 (cmd -2.0),0.0 (cmd 1.7)
1.574,-6.34,-1.69,0.0,12.13,2.05,0.0,12.1,-6.3,0.0 (cmd -1.7),0.0 (cmd 2.0)
1.5745,-6.34,-1.47,0.0,12.02,1.82,0.0,12.0,-6.3,0.0 (cmd -1.5),0.0 (cmd 1.8)
1.575,-6.34,-1.32,0.0,10.03,0.97,0.0,10.0,-6.3,0.0 (cmd -1.3),0.0 (cmd 1.0)
1.5755,-7.15,-1.19,0.0,2.59,0.63,0.0,2.6,-7.2,0.0 (cmd -1.2),0.0 (cmd 0.6)
1.576,-7.15,-1.41,0.0,-3.53,-2.2,0.0,-3.5,-7.2,0.0 (cmd -1.4),0.0 (cmd -2.2)
1.5765,-7.15,-1.31,0.0,-10.15,-4.02,0.0,-10.2,-7.2,0.0 (cmd -1.3),0.0 (cmd -4.0)
1.577,-7.15,-1.21,0.0,-15.63,-5.35,0.0,-15.6,-7.2,0.0 (cmd -1.2),0.0 (cmd -5.3)
1.5775,-7.15,-1.1,0.0,-20.33,-5.83,0.0,-20.3,-7.2,0.0 (cmd -1.1),0.0 (cmd -5.8)
1.578,-3.28,-1.0,0.0,-23.68,-6.13,0.0,-23.7,-3.3,0.0 (cmd -1.0),0.0 (cmd -6.1)
1.5785,-3.28,0.18,0.0,-27.26,-5.93,0.0,-27.3,-3.3,0.0 (cmd 0.2),0.0 (cmd -5.9)
1.579,-3.28,0.09,0.0,-28.71,-5.44,0.0,-28.7,-3.3,0.0 (cmd 0.1),0.0 (cmd -5.4)
1.5795,-3.28,0.04,0.0,-28.69,-4.8,0.0,-28.7,-3.3,0.0 (cmd 0.0),0.0 (cmd -4.8)
1.58,-3.28,0.03,0.0,-27.83,-3.79,0.0,-27.8,-3.3,0.0 (cmd 0.0),0.0 (cmd -3.8)
1.5805,-3.28,0.05,0.0,-24.72,-2.58,0.0,-24.7,-3.3,0.0 (cmd 0.1),0.0 (cmd -2.6)
1.581,-3.28,0.08,0.0,-21.89,-1.52,0.0,-21.9,-3.3,0.0 (cmd 0.1),0.0 (cmd -1.5)
1.5815,-3.28,0.1,0.0,-20.38,-0.43,0.0,-20.4,-3.3,0.0 (cmd 0.1),0.0 (cmd -0.4)
1.582,-2.73,0.07,0.0,-18.59,-0.16,0.0,-18.6,-2.7,0.0 (cmd 0.1),0.0 (cmd -0.2)
1.5825,1.55,0.2,0.0,-15.08,0.24,0.0,-15.1,1.6,0.0 (cmd 0.2),0.0 (cmd 0.2)
1.583,1.55,1.33,0.0,-11.26,1.87,0.0,-11.3,1.6,0.0 (cmd 1.3),0.0 (cmd 1.9)
1.5835,5.51,1.04,0.0,-9.5,1.83,0.0,-9.5,5.5,0.0 (cmd 1.0),0.0 (cmd 1.8)
1.584,5.51,1.89,0.0,-7.8,1.92,0.0,-7.8,5.5,0.0 (cmd 1.9),0.0 (cmd 1.9)
1.5845,9.88,1.48,0.0,-6.48,1.75,0.0,-6.5,9.9,0.0 (cmd 1.5),0.0 (cmd 1.8)
1.585,9.88,2.32,0.0,-5.83,1.71,0.0,-5.8,9.9,0.0 (cmd 2.3),0.0 (cmd 1.7)
1.5855,12.0,2.17,0.0,-4.79,1.39,0.0,-4.8,12.0,0.0 (cmd 2.2),0.0 (cmd 1.4)
1.586,12.0,1.99,0.0,-4.5,1.11,0.0,-4.5,12.0,0.0 (cmd 2.0),0.0 (cmd 1.1)
1.5865,12.0,1.58,0.0,-4.26,0.77,0.0,-4.3,12.0,0.0 (cmd 1.6),0.0 (cmd 0.8)
1.587,12.0,1.25,0.0,-4.01,0.49,0.0,-4.0,12.0,0.0 (cmd 1.2),0.0 (cmd 0.5)
1.5875,12.0,1.0,0.0,-3.73,0.24,0.0,-3.7,12.0,0.0 (cmd 1.0),0.0 (cmd 0.2)
1.588,12.0,0.8,0.0,-3.17,0.1,0.0,-3.2,12.0,0.0 (cmd 0.8),0.0 (cmd 0.1)
1.5885,12.0,0.65,0.0,-2.56,0.14,0.0,-2.6,12.0,0.0 (cmd 0.7),0.0 (cmd 0.1)
1.589,12.0,0.54,0.0,-1.23,0.22,0.0,-1.2,12.0,0.0 (cmd 0.5),0.0 (cmd 0.2)
1.5895,12.0,0.45,0.0,0.43,0.44,0.0,0.4,12.0,0.0 (cmd 0.5),0.0 (cmd 0.4)
1.59,12.0,0.39,0.0,1.83,0.7,0.0,1.8,12.0,0.0 (cmd 0.4),0.0 (cmd 0.7)
1.5905,12.0,0.32,0.0,2.27,0.7,0.0,2.3,12.0,0.0 (cmd 0.3),0.0 (cmd 0.7)
1.591,12.0,0.25,0.0,2.12,0.44,0.0,2.1,12.0,0.0 (cmd 0.2),0.0 (cmd 0.4)
1.5915,17.37,0.19,0.0,2.26,0.15,0.0,2.3,17.4,0.0 (cmd 0.2),0.0 (cmd 0.1)
1.592,16.71,1.63,0.0,2.64,0.22,0.0,2.6,16.7,0.0 (cmd 1.6),0.0 (cmd 0.2)
1.5925,16.71,1.23,0.0,3.89,0.24,0.0,3.9,16.7,0.0 (cmd 1.2),0.0 (cmd 0.2)
1.593,16.71,1.0,0.0,5.06,0.37,0.0,5.1,16.7,0.0 (cmd 1.0),0.0 (cmd 0.4)
1.5935,7.71,0.81,0.0,6.19,0.51,0.0,6.2,7.7,0.0 (cmd 0.8),0.0 (cmd 0.5)
1.594,7.71,-1.93,0.0,7.32,0.24,0.0,7.3,7.7,0.0 (cmd -1.9),0.0 (cmd 0.2)
1.5945,0.77,-2.3,0.0,8.52,0.28,0.0,8.5,0.8,0.0 (cmd -2.3),0.0 (cmd 0.3)
1.595,0.08,-3.1,0.0,10.06,0.62,0.0,10.1,0.1,0.0 (cmd -3.1),0.0 (cmd 0.6)
1.5955,-1.98,-3.33,0.0,11.59,0.87,0.0,11.6,-2.0,0.0 (cmd -3.3),0.0 (cmd 0.9)
1.596,-1.98,-2.66,0.0,12.77,1.12,0.0,12.8,-2.0,0.0 (cmd -2.7),0.0 (cmd 1.1)
1.5965,-1.32,-1.96,0.0,12.97,1.23,0.0,13.0,-1.3,0.0 (cmd -2.0),0.0 (cmd 1.2)
1.597,-1.5,-1.65,0.0,10.58,0.75,0.0,10.6,-1.5,0.0 (cmd -1.6),0.0 (cmd 0.8)
1.5975,-5.2,-2.68,0.0,7.62,-0.7,0.0,7.6,-5.2,0.0 (cmd -2.7),0.0 (cmd -0.7)
1.598,-5.2,-2.26,0.0,0.72,-1.73,0.0,0.7,-5.2,0.0 (cmd -2.3),0.0 (cmd -1.7)
1.5985,-5.2,-1.97,0.0,-9.4,-4.12,0.0,-9.4,-5.2,0.0 (cmd -2.0),0.0 (cmd -4.1)
1.599,-12.89,-1.72,0.0,-15.02,-5.79,0.0,-15.0,-12.9,0.0 (cmd -1.7),0.0 (cmd -5.8)
1.5995,-12.89,-3.62,0.0,-19.73,-6.52,0.0,-19.7,-12.9,0.0 (cmd -3.6),0.0 (cmd -6.5)
1.6018000000000001,-13.94,-2.95,0.0,-24.5,-6.25,0.0,-24.5,-13.9,0.0 (cmd -3.0),0.0 (cmd -6.2)
1.6023,-13.94,-2.74,0.0,-22.56,-6.12,0.0,-22.6,-13.9,0.0 (cmd -2.7),0.0 (cmd -6.1)
1.6028,-13.94,-2.19,0.0,-21.32,-4.2,0.0,-21.3,-13.9,0.0 (cmd -2.2),0.0 (cmd -4.2)
1.6033000000000002,-13.94,-1.77,0.0,-19.45,-2.76,0.0,-19.4,-13.9,0.0 (cmd -1.8),0.0 (cmd -2.8)
1.6038,-13.94,-1.45,0.0,-15.0,-1.65,0.0,-15.0,-13.9,0.0 (cmd -1.4),0.0 (cmd -1.6)
1.6043000000000003,-13.94,-1.19,0.0,-11.66,-0.4,0.0,-11.7,-13.9,0.0 (cmd -1.2),0.0 (cmd -0.4)
1.6048,-13.94,-0.96,0.0,-8.03,1.16,0.0,-8.0,-13.9,0.0 (cmd -1.0),0.0 (cmd 1.2)
1.6053,-2.17,-0.85,0.0,-4.59,1.94,0.0,-4.6,-2.2,0.0 (cmd -0.8),0.0 (cmd 1.9)
1.6058000000000001,2.41,4.03,0.0,-0.29,2.76,0.0,-0.3,2.4,0.0 (cmd 4.0),0.0 (cmd 2.8)
1.6063,2.41,3.09,0.0,0.48,3.13,0.0,0.5,2.4,0.0 (cmd 3.1),0.0 (cmd 3.1)
1.6068000000000002,2.41,2.34,0.0,2.06,2.84,0.0,2.1,2.4,0.0 (cmd 2.3),0.0 (cmd 2.8)
1.6073,2.41,1.76,0.0,3.41,2.37,0.0,3.4,2.4,0.0 (cmd 1.8),0.0 (cmd 2.4)
1.6078,2.37,1.32,0.0,4.98,2.07,0.0,5.0,2.4,0.0 (cmd 1.3),0.0 (cmd 2.1)
1.6083000000000003,2.37,0.98,0.0,7.2,2.44,0.0,7.2,2.4,0.0 (cmd 1.0),0.0 (cmd 2.4)
1.6088,2.37,0.7,0.0,9.28,2.41,0.0,9.3,2.4,0.0 (cmd 0.7),0.0 (cmd 2.4)
1.6093000000000002,2.37,0.48,0.0,11.31,2.43,0.0,11.3,2.4,0.0 (cmd 0.5),0.0 (cmd 2.4)
1.6098,2.37,0.29,0.0,11.8,2.31,0.0,11.8,2.4,0.0 (cmd 0.3),0.0 (cmd 2.3)
1.6103,2.37,0.14,0.0,12.0,1.99,0.0,12.0,2.4,0.0 (cmd 0.1),0.0 (cmd 2.0)
1.6108000000000002,2.37,0.0,0.0,8.39,1.32,0.0,8.4,2.4,0.0 (cmd 0.0),0.0 (cmd 1.3)
1.6113,2.37,-0.14,0.0,0.76,-0.33,0.0,0.8,2.4,0.0 (cmd -0.1),0.0 (cmd -0.3)
1.6118000000000001,2.37,-0.31,0.0,-6.41,-3.49,0.0,-6.4,2.4,0.0 (cmd -0.3),0.0 (cmd -3.5)
1.6122999999999998,2.37,-0.38,0.0,-15.13,-5.13,0.0,-15.1,2.4,0.0 (cmd -0.4),0.0 (cmd -5.1)
1.6128,2.37,-0.43,0.0,-22.7,-6.69,0.0,-22.7,2.4,0.0 (cmd -0.4),0.0 (cmd -6.7)
1.6133000000000002,2.37,-0.4,0.0,-26.91,-6.86,0.0,-26.9,2.4,0.0 (cmd -0.4),0.0 (cmd -6.9)
1.6138,7.99,-0.4,0.0,-29.28,-7.65,0.0,-29.3,8.0,0.0 (cmd -0.4),0.0 (cmd -7.7)
1.6143000000000003,7.99,1.25,0.0,-30.63,-6.51,0.0,-30.6,8.0,0.0 (cmd 1.2),0.0 (cmd -6.5)
1.6148,2.45,-0.8,0.0,-27.69,-5.56,0.0,-27.7,2.5,0.0 (cmd -0.8),0.0 (cmd -5.6)
1.6153,-3.47,-0.48,0.0,-23.81,-3.03,0.0,-23.8,-3.5,0.0 (cmd -0.5),0.0 (cmd -3.0)
1.6158000000000001,-3.47,-2.03,0.0,-20.12,-1.26,0.0,-20.1,-3.5,0.0 (cmd -2.0),0.0 (cmd -1.3)
1.6162999999999998,-3.47,-1.55,0.0,-18.11,-0.72,0.0,-18.1,-3.5,0.0 (cmd -1.6),0.0 (cmd -0.7)
1.6168000000000002,-3.47,-1.15,0.0,-12.78,0.37,0.0,-12.8,-3.5,0.0 (cmd -1.1),0.0 (cmd 0.4)
1.6173,-3.47,-0.86,0.0,-11.18,1.33,0.0,-11.2,-3.5,0.0 (cmd -0.9),0.0 (cmd 1.3)
1.6178,-6.82,-1.77,0.0,-3.69,1.6,0.0,-3.7,-6.8,0.0 (cmd -1.8),0.0 (cmd 1.6)
1.6183,10.66,-1.38,0.0,-0.33,3.15,0.0,-0.3,10.7,0.0 (cmd -1.4),0.0 (cmd 3.1)
1.6188,10.66,3.43,0.0,0.83,3.69,0.0,0.8,10.7,0.0 (cmd 3.4),0.0 (cmd 3.7)
1.6193000000000002,10.66,2.69,0.0,2.27,3.04,0.0,2.3,10.7,0.0 (cmd 2.7),0.0 (cmd 3.0)
