timestamp,R_angle(θ),R_Torque Cmd,R_Torque Est,L_angle(θ),L_Torque Cmd,L_Torque Est,Lθ Display,Rθ Display,Lτ Display,Rτ Display
0.0005,1.5,0.0,0.0,2.07,0.0,0.0,2.1,1.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.001,1.29,0.0,0.0,1.87,0.0,0.0,1.9,1.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0015,1.24,0.0,0.0,1.77,0.0,0.0,1.8,1.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.002,1.25,0.0,0.0,1.81,0.0,0.0,1.8,1.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0025,1.29,0.0,0.0,1.82,0.0,0.0,1.8,1.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.003,1.32,0.0,0.0,1.78,0.0,0.0,1.8,1.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0035,1.33,0.0,0.0,1.78,0.0,0.0,1.8,1.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.004,1.31,0.0,0.0,1.78,0.0,0.0,1.8,1.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0045,1.3,0.0,0.0,1.77,0.0,0.0,1.8,1.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.005,1.27,0.0,0.0,1.77,0.0,0.0,1.8,1.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0055,1.27,0.0,0.0,1.77,0.0,0.0,1.8,1.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.006,1.31,0.0,0.0,1.78,0.0,0.0,1.8,1.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0065,1.33,0.0,0.0,1.79,0.0,0.0,1.8,1.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.007,1.36,0.0,0.0,1.79,0.0,0.0,1.8,1.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0075,1.38,0.0,0.0,1.75,0.0,0.0,1.8,1.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.008,1.47,0.0,0.0,1.89,0.0,0.0,1.9,1.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0085,1.69,0.0,0.0,2.11,0.0,0.0,2.1,1.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.009,1.87,0.0,0.0,2.27,0.0,0.0,2.3,1.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0095,1.94,0.0,0.0,2.53,0.0,0.0,2.5,1.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.01,1.97,0.0,0.0,2.56,0.0,0.0,2.6,2.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0105,1.95,0.0,0.0,2.47,0.0,0.0,2.5,1.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.011,1.8,0.0,0.0,2.31,0.0,0.0,2.3,1.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0115,1.63,0.0,0.0,2.26,0.0,0.0,2.3,1.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.012,1.85,0.0,0.0,2.35,0.0,0.0,2.4,1.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0125,1.86,0.0,0.0,2.53,0.0,0.0,2.5,1.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.013,1.86,0.0,0.0,2.48,0.0,0.0,2.5,1.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0135,1.73,0.0,0.0,2.4,0.0,0.0,2.4,1.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.014,1.7,0.0,0.0,2.44,0.0,0.0,2.4,1.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0145,1.75,0.0,0.0,2.45,0.0,0.0,2.5,1.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.015,1.74,0.0,0.0,2.46,0.0,0.0,2.5,1.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0155,1.51,0.0,0.0,2.44,0.0,0.0,2.4,1.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.016,1.44,0.0,0.0,2.29,0.0,0.0,2.3,1.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0165,1.36,0.0,0.0,2.2,0.0,0.0,2.2,1.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.017,1.24,0.0,0.0,2.18,0.0,0.0,2.2,1.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0175,1.2,0.0,0.0,2.09,0.0,0.0,2.1,1.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.018,1.06,0.0,0.0,1.97,0.0,0.0,2.0,1.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0185,0.89,0.0,0.0,1.87,0.0,0.0,1.9,0.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.019,0.91,0.0,0.0,1.8,0.0,0.0,1.8,0.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0195,0.76,0.0,0.0,1.76,0.0,0.0,1.8,0.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.02,0.55,0.0,0.0,1.48,0.0,0.0,1.5,0.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0205,0.43,0.0,0.0,1.23,0.0,0.0,1.2,0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.021,0.31,0.0,0.0,1.11,0.0,0.0,1.1,0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0215,0.14,0.0,0.0,0.97,0.0,0.0,1.0,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.022,0.0,0.0,0.0,0.79,0.0,0.0,0.8,0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0225,-0.11,0.0,0.0,0.67,0.0,0.0,0.7,-0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.023,-0.22,0.0,0.0,0.57,0.0,0.0,0.6,-0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0235,-0.28,0.0,0.0,0.43,0.0,0.0,0.4,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.024,-0.32,0.0,0.0,0.35,0.0,0.0,0.3,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0245,-0.45,0.0,0.0,0.27,0.0,0.0,0.3,-0.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.025,-0.58,0.0,0.0,0.07,0.0,0.0,0.1,-0.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0255,-0.69,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.026,-0.66,0.0,0.0,-0.01,0.0,0.0,-0.0,-0.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0265,-0.7,0.0,0.0,-0.03,0.0,0.0,-0.0,-0.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.027,-0.79,0.0,0.0,-0.08,0.0,0.0,-0.1,-0.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0275,-0.75,0.0,0.0,-0.06,0.0,0.0,-0.1,-0.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
